time,x,y,z,vel,roll,pitch,yaw,terrainHeight,reward
19.1954,0,6030,0,128.9948,0,0,0,6000,-1
19.2139,0,6026.229,0,37.40055,0,0,0,6000,-1
19.23119,0,6026.225,0,18.81323,0,0,0,6000,-0.8813227
19.25958,0,6026.221,0,9.475416,0,0,0,6000,0.05245837
19.26836,0,6026.217,0,4.960082,0,0,0,6000,0.5039918
19.29008,0,6026.213,0,2.569984,0,0,0,6000,0.7430016
19.30825,0,6026.209,0,1.392488,0,0,0,6000,0.8607513
19.32728,0,6026.206,0,0.7988604,0,0,0,6000,0.920114
19.34687,0,6026.202,0,0.4991581,0,0,0,6000,0.9500842
19.37019,0,6026.198,0,0.3333285,0,0,0,6000,0.9666672
19.39507,0,6026.194,0,0.2451622,0,0,0,6000,0.9754838
19.42316,0,6022.376,0,68.08425,0,0,0,6000,-1
19.44012,0,6026.182,0,78.1273,0,0,0,6000,-1
19.45318,0,6030,0,185.2209,0,0,0,6000,-1
19.47194,0,6026.178,0,9.294563,0,0,0,6000,0.07054365
19.48482,0,6026.174,0,4.79884,0,0,0,6000,0.520116
19.49862,0,6030,0,136.2747,0,0,0,6000,-1
19.51537,0,6026.17,0,46.187,0,0,0,6000,-1
19.53391,0,6026.167,0,23.1988,0,0,0,6000,-1
19.55878,0,6026.163,0,11.67794,0,0,0,6000,-0.1677943
19.58685,0,6022.313,0,74.4156,0,0,0,6000,-1
19.59929,0,6030,0,271.8911,0,0,0,6000,-1
19.62149,0,6022.297,0,37.49553,0,0,0,6000,-1
19.64213,0,6026.143,0,74.41345,0,0,0,6000,-1
19.66367,0,6026.139,0,37.11605,0,0,0,6000,-1
19.68631,0,6026.135,0,18.47173,0,0,0,6000,-0.8471727
19.69885,0,6030,0,163.285,0,0,0,6000,-1
19.71222,0,6026.131,0,63.04066,0,0,0,6000,-1
19.73527,0,6026.127,0,31.60507,0,0,0,6000,-1
19.76361,0,6022.242,0,84.33595,0,0,0,6000,-1
19.78359,0,6026.115,0,54.76868,0,0,0,6000,-1
19.84957,0,6018.322,0,31.67328,0,0,0,6000,-1
19.86943,0,6026.1,0,179.9385,0,0,0,6000,-1
19.89152,0,6026.096,0,89.8808,0,0,0,6000,-1
19.899,0,6030,0,305.8792,0,0,0,6000,-1
19.91372,0,6026.092,0,20.20958,0,0,0,6000,-1
19.93212,0,6026.088,0,9.998655,0,0,0,6000,0.0001344532
19.95382,0,6026.084,0,4.909314,0,0,0,6000,0.5090685
19.96976,0,6026.08,0,2.332149,0,0,0,6000,0.7667851
19.98891,0,6026.076,0,1.06405,0,0,0,6000,0.893595
20.00843,0,6026.072,0,0.4319721,0,0,0,6000,0.9568028
20.03043,0,6026.068,0,0.1272198,0,0,0,6000,0.987278
20.05993,0,6026.064,0,0.002593547,0,0,0,6000,0.9997407
20.06786,0,6026.061,0,0.2475444,0,0,0,6000,0.9752455
20.08218,0,6026.057,0,0.2601689,0,0,0,6000,0.9739831
20.09959,0,6030,0,113.1192,0,0,0,6000,-1
20.11114,0,6026.052,0,114.3597,0,0,0,6000,-1
20.1265,0,6026.048,0,57.30702,0,0,0,6000,-1
20.14418,0,6026.044,0,28.76399,0,0,0,6000,-1
20.16689,0,6026.041,0,14.46801,0,0,0,6000,-0.446801
20.19003,0,6026.037,0,7.318398,0,0,0,6000,0.2681602
20.22129,0,6022.062,0,67.24524,0,0,0,6000,-1
20.23686,0,6030,0,221.3155,0,0,0,6000,-1
20.26208,0,6022.046,0,46.98261,0,0,0,6000,-1
20.28801,0,6026.017,0,53.09993,0,0,0,6000,-1
20.30886,0,6026.013,0,26.45628,0,0,0,6000,-1
20.32853,0,6026.009,0,13.12887,0,0,0,6000,-0.3128868
20.34884,0,6026.005,0,6.468275,0,0,0,6000,0.3531725
20.38073,0,6021.999,0,59.58179,0,0,0,6000,-1
20.39276,0,6030,0,302.9534,0,0,0,6000,-1
20.413,0,6025.994,0,52.51868,0,0,0,6000,-1
20.43335,0,6025.99,0,26.16335,0,0,0,6000,-1
20.45288,0,6025.986,0,12.98169,0,0,0,6000,-0.298169
20.4979,0,6021.96,0,38.22177,0,0,0,6000,-1
20.5306,0,6021.944,0,19.34983,0,0,0,6000,-0.9349827
20.548,0,6025.966,0,105.8694,0,0,0,6000,-1
20.56745,0,6025.962,0,52.8343,0,0,0,6000,-1
20.58778,0,6025.958,0,26.32106,0,0,0,6000,-1
20.60753,0,6025.955,0,13.06164,0,0,0,6000,-0.3061637
20.62819,0,6025.951,0,6.436303,0,0,0,6000,0.3563697
20.64777,0,6025.947,0,3.118415,0,0,0,6000,0.6881585
20.66797,0,6025.942,0,1.450401,0,0,0,6000,0.8549599
20.68813,0,6025.938,0,0.6283197,0,0,0,6000,0.937168
20.71565,0,6025.935,0,0.2432016,0,0,0,6000,0.9756798
20.73526,0,6025.931,0,0.02197446,0,0,0,6000,0.9978026
20.75517,0,6025.927,0,0.08710408,0,0,0,6000,0.9912896
20.77494,0,6025.923,0,0.1423575,0,0,0,6000,0.9857643
20.79572,0,6025.919,0,0.1651404,0,0,0,6000,0.9834859
20.818,0,6025.915,0,0.1702324,0,0,0,6000,0.9829767
20.8312,0,6025.911,0,0.2330765,0,0,0,6000,0.9766924
20.84411,0,6025.907,0,0.2678632,0,0,0,6000,0.9732137
20.86647,0,6025.903,0,0.2212686,0,0,0,6000,0.9778731
20.88052,0,6025.899,0,0.2496521,0,0,0,6000,0.9750348
20.90425,0,6025.896,0,0.2071295,0,0,0,6000,0.979287
20.92384,0,6025.892,0,0.2033085,0,0,0,6000,0.9796692
20.95679,0,6025.888,0,0.1609164,0,0,0,6000,0.9839084
20.98695,0,6021.764,0,68.44568,0,0,0,6000,-1
21.00366,0,6025.876,0,88.84814,0,0,0,6000,-1
21.03214,0,6025.872,0,44.3555,0,0,0,6000,-1
21.04474,0,6025.868,0,22.02271,0,0,0,6000,-1
21.0648,0,6025.864,0,10.91396,0,0,0,6000,-0.09139644
21.08636,0,6025.86,0,5.366429,0,0,0,6000,0.4633571
21.10627,0,6025.856,0,2.585068,0,0,0,6000,0.7414932
21.12605,0,6025.853,0,1.193836,0,0,0,6000,0.8806164
21.14595,0,6025.849,0,0.4987685,0,0,0,6000,0.9501231
21.166,0,6025.845,0,0.1519345,0,0,0,6000,0.9848065
21.18742,0,6025.841,0,0.01521202,0,0,0,6000,0.9984788
21.19867,0,6030,0,184.8826,0,0,0,6000,-1
21.2119,0,6025.837,0,64.82443,0,0,0,6000,-1
21.22591,0,6025.833,0,32.56907,0,0,0,6000,-1
21.24394,0,6025.829,0,16.39286,0,0,0,6000,-0.6392857
21.26101,0,6025.825,0,8.310835,0,0,0,6000,0.1689165
21.27975,0,6030,0,107.2263,0,0,0,6000,-1
21.31922,0,6021.638,0,52.33939,0,0,0,6000,-1
21.33772,0,6025.813,0,86.64327,0,0,0,6000,-1
21.3508,0,6025.809,0,43.17223,0,0,0,6000,-1
21.36341,0,6025.805,0,21.43132,0,0,0,6000,-1
21.3774,0,6030,0,160.7192,0,0,0,6000,-1
21.39309,0,6025.801,0,53.38245,0,0,0,6000,-1
21.40946,0,6025.797,0,26.81056,0,0,0,6000,-1
21.42591,0,6025.793,0,13.52396,0,0,0,6000,-0.3523962
21.44297,0,6025.79,0,6.87649,0,0,0,6000,0.312351
21.46125,0,6025.786,0,3.545107,0,0,0,6000,0.6454893
21.48939,0,6025.782,0,1.841969,0,0,0,6000,0.8158031
21.52095,0,6021.552,0,67.93447,0,0,0,6000,-1
21.53461,0,6030,0,275.1656,0,0,0,6000,-1
21.54744,0,6025.77,0,27.29874,0,0,0,6000,-1
21.56112,0,6025.766,0,13.79215,0,0,0,6000,-0.3792151
21.57619,0,6030,0,133.5302,0,0,0,6000,-1
